"Time","Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Niacin","Data.Protein","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"2025-08-01T08:00","Cereals","Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry","8200","0","5","0","72.62","0","29.5","11.9","182","0","3.98","12.64","0","0.18","31.3","2.46","0.34","10.35","0.6","1.13","0.45","2.73","36","0.361","2.88","115","346","322","7","3.21","0","0.0","0.28","0.0","0.66","3.7"
"2025-08-01T08:00","Beverages","Beverages, almond milk, unsweetened, shelf stable","14091","0","0","0","1.31","0","3.1","0.2","0","0","0.07","0.4","90","0.01","0.1","0.81","0.0","96.54","0.59","0.24","0.08","0.96","184","0.02","0.28","6","9","67","72","0.06","90","0.0","0.0","0.0","2.81","0.0"
"2025-08-01T12:30","Chicken","Chicken, meatless, breaded, fried","43410","0","0","0","8.51","0","46.3","4.3","0","0","12.766","21.28","0","0.362","7.4","0.0","1.277","56.44","3.226","4.581","1.13","12.77","42","0.5","3.83","12","245","300","400","0.65","0","5.11","0.851","0.0","1.95","0.0"
"2025-08-01T12:30","Spinach","Spinach, raw","11457","0","5626","0","3.63","0","19.3","2.2","12198","0","0.724","2.86","0","0.189","1.0","0.42","0.078","91.4","0.01","0.165","0.063","0.39","99","0.13","2.71","79","49","558","79","0.53","469","0.0","0.195","28.1","2.03","482.9"
"2025-08-01T12:30","Tortillas","Tortillas, ready-to-bake or -fry, corn","18363","0","1","1","44.64","0","13.3","6.3","3","0","1.498","5.7","0","0.065","6.1","0.88","0.094","45.89","0.692","1.419","0.453","2.85","81","0.154","1.23","72","314","186","45","1.31","0","0.0","0.219","0.0","0.28","0.0"
"2025-08-01T12:30","Avocados","Avocados, raw, all commercial varieties","9037","24","62","28","8.53","0","14.2","6.7","271","0","1.738","2.0","0","0.13","0.4","0.66","0.067","73.23","9.799","1.816","2.126","14.66","12","0.19","0.55","29","52","485","7","0.64","7","0.0","0.257","10.0","2.07","21.0"
"2025-08-01T15:30","Yogurt","Yogurt, plain, low fat","1117","0","2","0","7.04","6","15.2","0.0","0","0","0.114","5.25","14","0.214","3.3","7.04","0.044","85.07","0.426","0.044","1.0","1.55","183","0.013","0.08","17","144","234","70","0.89","14","0.56","0.049","0.8","0.03","0.2"
"2025-08-01T18:30","Fish","Fish, salmon, chinook, smoked","15077","0","0","0","0.0","23","89.0","0.0","0","0","4.72","18.28","26","0.101","32.4","0.0","0.023","72.0","2.023","0.995","0.929","4.32","11","0.23","0.85","18","164","175","672","0.31","26","3.26","0.278","0.0","1.35","0.1"
"2025-08-02T08:00","Egg","Egg, whole, cooked, hard-boiled","1129","0","11","10","1.12","373","293.8","0.0","353","0","0.064","12.58","148","0.513","30.8","1.12","0.066","74.62","4.077","1.414","3.267","10.61","50","0.013","1.19","10","172","126","124","1.05","149","1.11","0.121","0.0","1.03","0.3"
"2025-08-02T08:00","Bread","Bread, whole-wheat, commercially prepared","18075","0","2","0","43.1","0","27.2","6.0","87","0","4.43","12.3","0","0.166","25.8","4.41","0.391","38.7","0.616","1.61","0.732","3.55","163","0.226","2.56","76","212","250","450","1.76","0","0.0","0.216","0.0","0.54","7.8"
"2025-08-02T08:00","Butter","Butter, salted","1001","0","158","0","0.06","215","18.8","0.0","0","0","0.042","0.85","671","0.034","1.0","0.06","0.005","16.17","21.021","3.043","51.368","81.11","24","0.0","0.02","2","24","24","643","0.09","684","0.17","0.003","0.0","2.32","7.0"
"2025-08-02T12:30","Turkey ham","Turkey ham, sliced, extra lean, prepackaged or deli-sliced","42128","0","0","0","2.93","67","59.1","0.0","0","0","3.53","19.6","0","0.25","37.0","0.0","0.05","72.0","0.864","1.148","1.09","3.8","5","0.11","1.35","20","304","299","1038","2.36","0","0.26","0.23","0.0","0.39","0.0"
"2025-08-02T12:30","Lettuce","Lettuce, iceberg (includes crisphead types), raw","11252","4","299","0","2.97","0","6.7","1.2","277","0","0.123","0.9","0","0.025","0.1","1.97","0.041","95.64","0.006","0.074","0.018","0.14","18","0.025","0.41","7","20","141","10","0.15","25","0.0","0.042","2.8","0.18","24.1"
"2025-08-02T12:30","Tomatoes","Tomatoes, red, ripe, raw, year round average","11529","101","449","0","3.89","0","6.7","1.2","123","2573","0.594","0.88","0","0.019","0.0","2.63","0.037","94.52","0.031","0.083","0.028","0.2","10","0.059","0.27","11","24","237","5","0.17","42","0.0","0.08","13.7","0.54","7.9"
"2025-08-02T12:30","Bread","Bread, whole-wheat, commercially prepared","18075","0","2","0","43.1","0","27.2","6.0","87","0","4.43","12.3","0","0.166","25.8","4.41","0.391","38.7","0.616","1.61","0.732","3.55","163","0.226","2.56","76","212","250","450","1.76","0","0.0","0.216","0.0","0.54","7.8"
"2025-08-02T15:30","Apples","Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)","9003","0","27","11","13.81","0","3.4","2.4","29","0","0.091","0.26","0","0.026","0.0","10.39","0.017","85.56","0.007","0.051","0.028","0.17","6","0.027","0.12","5","11","107","1","0.04","3","0.0","0.041","4.6","0.18","2.2"
"2025-08-02T18:30","Sauce","Sauce, pasta, spaghetti/marinara, ready-to-serve","6931","0","390","0","8.05","2","13.7","1.8","190","12700","3.917","1.41","0","0.061","1.4","5.5","0.024","87.4","0.376","0.504","0.17","1.48","27","0.081","0.78","18","34","319","419","0.2","32","0.0","0.173","2.0","2.4","13.9"
"2025-08-02T18:30","Pasta","Pasta, cooked, enriched, without added salt","20121","0","0","0","30.86","0","6.4","1.8","7","0","1.689","5.8","0","0.136","26.4","0.56","0.274","62.13","0.131","0.326","0.176","0.93","7","0.1","1.28","18","58","44","1","0.51","0","0.0","0.049","0.0","0.06","0.0"
"2025-08-02T18:30","Beef","Beef, ground, patties, frozen, cooked, broiled","13317","0","0","0","0.0","84","74.6","0.0","0","0","5.305","23.05","0","0.176","21.5","0.0","0.03","53.91","9.358","0.656","8.805","21.83","11","0.077","2.42","19","174","305","77","4.84","0","2.65","0.435","0.0","0.0","2.3"